nomeUF,total_aplicacoes,aplicacoes_mesma_localidade,aplicacoes_localidade_diferente
SP,1244206,1036477,207729
MG,505037,432421,72616
RJ,362661,311505,51156
PR,310263,259799,50464
BA,291279,254262,37017
RS,254102,222024,32078
PA,249039,211069,37970
CE,240811,210264,30547
PE,222996,186097,36899
AM,217060,194316,22744
GO,206990,166162,40828
SC,195398,160678,34720
MA,162442,135342,27100
ES,130286,105269,25017
MS,108549,95008,13541
MT,106348,88746,17602
PB,99076,87010,12066
DF,97908,86713,11195
PI,85904,73935,11969
RN,83804,70640,13164
AL,82786,71692,11094
SE,67493,55572,11921
RO,55696,47427,8269
TO,50112,42374,7738
AC,36200,30925,5275
RR,31588,26087,5501
AP,26386,22170,4216
